strategy,label,optimizer,epoch,lr,train_loss,train_acc,val_loss,val_acc,params,use_batchnorm,use_dropout,dropout_ratio,init_method
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,6,0.01,0.09893880404048615,99.03999999999999,0.06388843067651401,97.89999999999999,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,7,0.01,0.09665711919072505,99.1,0.06642564124919398,97.98,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,8,0.01,0.09201607008629974,99.25,0.06140990045429143,98.16,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,9,0.01,0.08559866398718083,99.26,0.06015589355700929,98.2,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,10,0.01,0.0796208747083181,99.27,0.05970319406198167,98.18,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,11,0.01,0.07688060672978801,99.42999999999999,0.06037946770899242,98.13,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,12,0.01,0.07595273380393537,99.52,0.059778706717977456,98.18,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,13,0.01,0.07276493053315904,99.5,0.05714008470450594,98.16,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,14,0.01,0.06830559020800211,99.56,0.06085261463369251,98.15,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,15,0.01,0.06933505843569575,99.63,0.05565833579694079,98.35000000000001,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,16,0.01,0.06368069686807737,99.64,0.059405694586774374,98.3,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,17,0.01,0.06411380156843689,99.6,0.054534325920628554,98.35000000000001,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,18,0.01,0.061198353828928125,99.75,0.05551749610475906,98.38,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,19,0.01,0.06044738565784821,99.7,0.05828234036869345,98.38,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,20,0.01,0.05968082294755564,99.71,0.05781679708743859,98.31,537354,True,True,0.5,he
